PR58	10/11/1999	Heliconius	charithonia		m	In captive population, L.E. Gilbert's lab. 	Wild
PR59	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared
PR60	10/11/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR61	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR62	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR63	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR64	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR65	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR66	10/11/1999	Heliconius	erato	cyrbia	f		Reared
PR67	10/11/1999	Heliconius	erato	cyrbia	f		Reared
PR68	10/11/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR69	10/11/1999	Heliconius	himera		m		Reared
PR70	10/11/1999	Heliconius	himera		m		Reared
PR71	10/11/1999	Heliconius	himera		m		Reared
PR72	10/11/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR73	10/11/1999	Heliconius	erato	etylus	f		Reared
PR74	10/11/1999	Heliconius	himera		m		Reared
PR75	10/11/1999	Heliconius	himera		m		Reared
PR76	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR77	10/11/1999	Heliconius	himera		f		Reared
PR78	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR79	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR80	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR81	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR82	10/11/1999	Heliconius	erato	etylus	f		Reared
PR83	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR84	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR85	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR86	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR87	10/11/1999	Heliconius	himera		f		Reared
PR88	10/11/1999	Heliconius	erato	etylus	m		Reared
PR89	10/11/1999	Heliconius	himera		m		Reared
PR90	10/11/1999	Heliconius	erato	cyrbia	f		Reared
PR91	10/11/1999	Heliconius	himera		m		Reared
PR92	10/11/1999	Heliconius	himera		m		Reared
PR93	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR94	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR95	10/11/1999	Heliconius	erato	etylus	f		Reared
PR96	10/11/1999	Heliconius	erato	cyrbia	m		Reared
PR97	10/11/1999	Heliconius	himera		m		Reared
PR98	10/11/1999	Heliconius	himera		f		Reared
PR99	10/11/1999	Heliconius	erato	cyrbia	f		Reared
PR100 	10/11/1999	Heliconius	himera		m		Reared
PR101	10/11/1999	Heliconius	erato	etylus	m		Reared
PR102	10/11/1999	Heliconius	erato	etylus	m		Reared
PR103	10/11/1999	Heliconius	himera		m		Reared
PR104	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR105	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR106	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR107	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR108	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR109	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR110	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR111	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR112	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared
PR113	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR114	10/11/1999	Heliconius	erato	notabilis	f	emerged badly; Wasn’t sure if wild or reared NIC FIX	Reared
PR115	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared
PR116	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared
PR117	10/11/1999	Heliconius	himera		m		Reared
PR118	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared
PR119	11/26/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared
PR120	12/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR121	11/13/1999	Heliconius	himera		m		Reared
PR122	11/13/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR123	11/16/1999	Heliconius	erato	notabilis	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR124	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR125	11/15/1999	Heliconius	erato	etylus	m		Reared
PR126	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR127	11/15/1999	Heliconius	himera		f		Reared
PR128	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR129	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR130	12/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR131	12/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared
PR132	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR133	11/16/1999	Heliconius	erato	cyrbia	f		Reared
PR134	11/16/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared
PR135	11/16/1999	Heliconius	himera		f		Reared
PR136	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR137	11/29/1999	Heliconius	erato	cyrbia	f		Reared
PR138	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR139	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR140	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR141	11/16/1999	Heliconius	erato	notabilis	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR142	11/15/1999	Heliconius	erato	etylus	f		Reared
PR145	11/19/1999	Heliconius	himera		m		Reared
PR146	11/19/1999	Heliconius	himera		f		Reared
PR147	11/20/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared
PR149	11/19/1999	Heliconius	himera		m		Reared
PR150	11/19/1999	Heliconius	himera		f		Reared
PR151	11/19/1999	Heliconius	himera		f		Reared
PR152	11/19/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared
PR153	11/21/1999	Heliconius	erato	cyrbia	m		Reared
PR154	11/22/1999	Heliconius	hybrid erato x himera	etylus x himera	m		Reared
PR155	11/22/1999	Heliconius	hybrid erato x himera	cyrbia x himera		NIC FIX THIS--how can it be cy x hi and have mother = cy and father = not?	Reared
